id,semantic,layer,normalized_mask,atlas_slot,atlas_x,atlas_y_bottom,variant,frame,frame_seconds,asset
F020,BlobMask81,Foam,81,35,192,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F020.asset
F021,BlobMask84,Foam,84,36,256,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F021.asset
F022,BlobMask85,Foam,85,37,320,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F022.asset
F023,BlobMask87,Foam,87,38,384,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F023.asset
F024,BlobMask92,Foam,92,39,448,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F024.asset
F025,BlobMask93,Foam,93,40,512,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F025.asset
F026,BlobMask95,Foam,95,41,576,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F026.asset
F027,BlobMask112,Foam,112,42,640,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F027.asset
F028,BlobMask113,Foam,113,43,704,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F028.asset
F029,BlobMask116,Foam,116,44,768,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F029.asset
F030,BlobMask117,Foam,117,45,832,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F030.asset
F031,BlobMask119,Foam,119,46,896,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F031.asset
F032,BlobMask124,Foam,124,47,960,832,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F032.asset
F033,BlobMask125,Foam,125,48,0,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F033.asset
F034,BlobMask127,Foam,127,49,64,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F034.asset
F035,BlobMask193,Foam,193,50,128,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F035.asset
F036,BlobMask197,Foam,197,51,192,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F036.asset
F037,BlobMask199,Foam,199,52,256,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F037.asset
F038,BlobMask209,Foam,209,53,320,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F038.asset
F039,BlobMask213,Foam,213,54,384,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F039.asset
F040,BlobMask215,Foam,215,55,448,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F040.asset
F041,BlobMask221,Foam,221,56,512,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F041.asset
F042,BlobMask223,Foam,223,57,576,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F042.asset
F043,BlobMask241,Foam,241,58,640,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F043.asset
F044,BlobMask245,Foam,245,59,704,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F044.asset
F045,BlobMask247,Foam,247,60,768,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F045.asset
F046,BlobMask253,Foam,253,61,832,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F046.asset
F047,BlobMask255,Foam,255,62,896,768,0,0,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F047.asset
F048,BlobMask0,Foam,0,64,0,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F048.asset
F049,BlobMask1,Foam,1,65,64,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F049.asset
F050,BlobMask4,Foam,4,66,128,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F050.asset
F051,BlobMask5,Foam,5,67,192,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F051.asset
F052,BlobMask7,Foam,7,68,256,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F052.asset
F053,BlobMask16,Foam,16,69,320,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F053.asset
F054,BlobMask17,Foam,17,70,384,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F054.asset
F055,BlobMask20,Foam,20,71,448,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F055.asset
F056,BlobMask21,Foam,21,72,512,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F056.asset
F057,BlobMask23,Foam,23,73,576,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F057.asset
F058,BlobMask28,Foam,28,74,640,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F058.asset
F059,BlobMask29,Foam,29,75,704,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F059.asset
F060,BlobMask31,Foam,31,76,768,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F060.asset
F061,BlobMask64,Foam,64,77,832,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F061.asset
F062,BlobMask65,Foam,65,78,896,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F062.asset
F063,BlobMask68,Foam,68,79,960,704,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F063.asset
F064,BlobMask69,Foam,69,80,0,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F064.asset
F065,BlobMask71,Foam,71,81,64,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F065.asset
F066,BlobMask80,Foam,80,82,128,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F066.asset
F067,BlobMask81,Foam,81,83,192,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F067.asset
F068,BlobMask84,Foam,84,84,256,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F068.asset
F069,BlobMask85,Foam,85,85,320,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F069.asset
F070,BlobMask87,Foam,87,86,384,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F070.asset
F071,BlobMask92,Foam,92,87,448,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F071.asset
F072,BlobMask93,Foam,93,88,512,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F072.asset
F073,BlobMask95,Foam,95,89,576,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F073.asset
F074,BlobMask112,Foam,112,90,640,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F074.asset
F075,BlobMask113,Foam,113,91,704,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F075.asset
F076,BlobMask116,Foam,116,92,768,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F076.asset
F077,BlobMask117,Foam,117,93,832,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F077.asset
F078,BlobMask119,Foam,119,94,896,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F078.asset
F079,BlobMask124,Foam,124,95,960,640,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F079.asset
F080,BlobMask125,Foam,125,96,0,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F080.asset
F081,BlobMask127,Foam,127,97,64,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F081.asset
F082,BlobMask193,Foam,193,98,128,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F082.asset
F083,BlobMask197,Foam,197,99,192,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F083.asset
F084,BlobMask199,Foam,199,100,256,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F084.asset
F085,BlobMask209,Foam,209,101,320,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F085.asset
F086,BlobMask213,Foam,213,102,384,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F086.asset
F087,BlobMask215,Foam,215,103,448,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F087.asset
F088,BlobMask221,Foam,221,104,512,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F088.asset
F089,BlobMask223,Foam,223,105,576,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F089.asset
F090,BlobMask241,Foam,241,106,640,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F090.asset
F091,BlobMask245,Foam,245,107,704,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F091.asset
F092,BlobMask247,Foam,247,108,768,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F092.asset
F093,BlobMask253,Foam,253,109,832,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F093.asset
F094,BlobMask255,Foam,255,110,896,576,0,1,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F094.asset
F095,BlobMask0,Foam,0,112,0,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F095.asset
F096,BlobMask1,Foam,1,113,64,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F096.asset
F097,BlobMask4,Foam,4,114,128,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F097.asset
F098,BlobMask5,Foam,5,115,192,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F098.asset
F099,BlobMask7,Foam,7,116,256,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F099.asset
F100,BlobMask16,Foam,16,117,320,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F100.asset
F101,BlobMask17,Foam,17,118,384,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F101.asset
F102,BlobMask20,Foam,20,119,448,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F102.asset
F103,BlobMask21,Foam,21,120,512,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F103.asset
F104,BlobMask23,Foam,23,121,576,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F104.asset
F105,BlobMask28,Foam,28,122,640,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F105.asset
F106,BlobMask29,Foam,29,123,704,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F106.asset
F107,BlobMask31,Foam,31,124,768,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F107.asset
F108,BlobMask64,Foam,64,125,832,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F108.asset
F109,BlobMask65,Foam,65,126,896,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F109.asset
F110,BlobMask68,Foam,68,127,960,512,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F110.asset
F111,BlobMask69,Foam,69,128,0,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F111.asset
F112,BlobMask71,Foam,71,129,64,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F112.asset
F113,BlobMask80,Foam,80,130,128,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F113.asset
F114,BlobMask81,Foam,81,131,192,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F114.asset
F115,BlobMask84,Foam,84,132,256,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F115.asset
F116,BlobMask85,Foam,85,133,320,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F116.asset
F117,BlobMask87,Foam,87,134,384,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F117.asset
F118,BlobMask92,Foam,92,135,448,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F118.asset
F119,BlobMask93,Foam,93,136,512,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F119.asset
F120,BlobMask95,Foam,95,137,576,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F120.asset
F121,BlobMask112,Foam,112,138,640,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F121.asset
F122,BlobMask113,Foam,113,139,704,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F122.asset
F123,BlobMask116,Foam,116,140,768,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F123.asset
F124,BlobMask117,Foam,117,141,832,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F124.asset
F125,BlobMask119,Foam,119,142,896,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F125.asset
F126,BlobMask124,Foam,124,143,960,448,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F126.asset
F127,BlobMask125,Foam,125,144,0,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F127.asset
F128,BlobMask127,Foam,127,145,64,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F128.asset
F129,BlobMask193,Foam,193,146,128,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F129.asset
F130,BlobMask197,Foam,197,147,192,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F130.asset
F131,BlobMask199,Foam,199,148,256,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F131.asset
F132,BlobMask209,Foam,209,149,320,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F132.asset
F133,BlobMask213,Foam,213,150,384,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F133.asset
F134,BlobMask215,Foam,215,151,448,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F134.asset
F135,BlobMask221,Foam,221,152,512,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F135.asset
F136,BlobMask223,Foam,223,153,576,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F136.asset
F137,BlobMask241,Foam,241,154,640,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F137.asset
F138,BlobMask245,Foam,245,155,704,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F138.asset
F139,BlobMask247,Foam,247,156,768,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F139.asset
F140,BlobMask253,Foam,253,157,832,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F140.asset
F141,BlobMask255,Foam,255,158,896,384,0,2,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F141.asset
F142,BlobMask0,Foam,0,160,0,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F142.asset
F143,BlobMask1,Foam,1,161,64,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F143.asset
F144,BlobMask4,Foam,4,162,128,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F144.asset
F145,BlobMask5,Foam,5,163,192,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F145.asset
F146,BlobMask7,Foam,7,164,256,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F146.asset
F147,BlobMask16,Foam,16,165,320,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F147.asset
F148,BlobMask17,Foam,17,166,384,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F148.asset
F149,BlobMask20,Foam,20,167,448,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F149.asset
F150,BlobMask21,Foam,21,168,512,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F150.asset
F151,BlobMask23,Foam,23,169,576,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F151.asset
F152,BlobMask28,Foam,28,170,640,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F152.asset
F153,BlobMask29,Foam,29,171,704,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F153.asset
F154,BlobMask31,Foam,31,172,768,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F154.asset
F155,BlobMask64,Foam,64,173,832,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F155.asset
F156,BlobMask65,Foam,65,174,896,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F156.asset
F157,BlobMask68,Foam,68,175,960,320,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F157.asset
F158,BlobMask69,Foam,69,176,0,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F158.asset
F159,BlobMask71,Foam,71,177,64,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F159.asset
F160,BlobMask80,Foam,80,178,128,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F160.asset
F161,BlobMask81,Foam,81,179,192,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F161.asset
F162,BlobMask84,Foam,84,180,256,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F162.asset
F163,BlobMask85,Foam,85,181,320,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F163.asset
F164,BlobMask87,Foam,87,182,384,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F164.asset
F165,BlobMask92,Foam,92,183,448,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F165.asset
F166,BlobMask93,Foam,93,184,512,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F166.asset
F167,BlobMask95,Foam,95,185,576,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F167.asset
F168,BlobMask112,Foam,112,186,640,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F168.asset
F169,BlobMask113,Foam,113,187,704,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F169.asset
F170,BlobMask116,Foam,116,188,768,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F170.asset
F171,BlobMask117,Foam,117,189,832,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F171.asset
F172,BlobMask119,Foam,119,190,896,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F172.asset
F173,BlobMask124,Foam,124,191,960,256,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F173.asset
F174,BlobMask125,Foam,125,192,0,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F174.asset
F175,BlobMask127,Foam,127,193,64,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F175.asset
F176,BlobMask193,Foam,193,194,128,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F176.asset
F177,BlobMask197,Foam,197,195,192,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F177.asset
F178,BlobMask199,Foam,199,196,256,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F178.asset
F179,BlobMask209,Foam,209,197,320,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F179.asset
F180,BlobMask213,Foam,213,198,384,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F180.asset
F181,BlobMask215,Foam,215,199,448,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F181.asset
F182,BlobMask221,Foam,221,200,512,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F182.asset
F183,BlobMask223,Foam,223,201,576,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F183.asset
F184,BlobMask241,Foam,241,202,640,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F184.asset
F185,BlobMask245,Foam,245,203,704,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F185.asset
F186,BlobMask247,Foam,247,204,768,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F186.asset
F187,BlobMask253,Foam,253,205,832,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F187.asset
F188,BlobMask255,Foam,255,206,896,192,0,3,0.2,Assets/Sapphire/Art/World/Modular64/Tiles/WaterFoam/F188.asset
