id,semantic,layer,normalized_mask,atlas_slot,atlas_x,atlas_y_bottom,variant,width_profile,asset
G048,InteriorVariant,Ground,255,48,0,768,1,0,Assets/Sapphire/Art/World/Modular64/Tiles/G048.asset
G049,InteriorVariant,Ground,255,49,64,768,2,0,Assets/Sapphire/Art/World/Modular64/Tiles/G049.asset
G050,InteriorVariant,Ground,255,50,128,768,3,0,Assets/Sapphire/Art/World/Modular64/Tiles/G050.asset
G051,InteriorVariant,Ground,255,51,192,768,4,0,Assets/Sapphire/Art/World/Modular64/Tiles/G051.asset
G052,InteriorVariant,Ground,255,52,256,768,5,0,Assets/Sapphire/Art/World/Modular64/Tiles/G052.asset
G053,InteriorVariant,Ground,255,53,320,768,6,0,Assets/Sapphire/Art/World/Modular64/Tiles/G053.asset
G054,InteriorVariant,Ground,255,54,384,768,7,0,Assets/Sapphire/Art/World/Modular64/Tiles/G054.asset
G055,InteriorVariant,Ground,255,55,448,768,8,0,Assets/Sapphire/Art/World/Modular64/Tiles/G055.asset
G056,InteriorVariant,Ground,255,56,512,768,9,0,Assets/Sapphire/Art/World/Modular64/Tiles/G056.asset
G057,InteriorVariant,Ground,255,57,576,768,10,0,Assets/Sapphire/Art/World/Modular64/Tiles/G057.asset
G058,InteriorVariant,Ground,255,58,640,768,11,0,Assets/Sapphire/Art/World/Modular64/Tiles/G058.asset
G059,InteriorVariant,Ground,255,59,704,768,12,0,Assets/Sapphire/Art/World/Modular64/Tiles/G059.asset
P001,StraightH,Path,68,64,0,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P001.asset
P002,StraightV,Path,17,65,64,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P002.asset
P003,CornerTL,Path,65,66,128,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P003.asset
P004,CornerTR,Path,5,67,192,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P004.asset
P005,CornerBL,Path,80,68,256,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P005.asset
P006,CornerBR,Path,20,69,320,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P006.asset
P007,TUp,Path,69,70,384,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P007.asset
P008,TRight,Path,21,71,448,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P008.asset
P009,TDown,Path,84,72,512,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P009.asset
P010,TLeft,Path,81,73,576,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P010.asset
P011,Cross,Path,85,74,640,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P011.asset
P012,EndUp,Path,1,75,704,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P012.asset
P013,EndRight,Path,4,76,768,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P013.asset
P014,EndDown,Path,16,77,832,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P014.asset
P015,EndLeft,Path,64,78,896,704,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P015.asset
P016,NarrowH,Path,68,79,960,704,0,5,Assets/Sapphire/Art/World/Modular64/Tiles/P016.asset
P017,NarrowV,Path,17,80,0,640,0,5,Assets/Sapphire/Art/World/Modular64/Tiles/P017.asset
P018,WideH,Path,68,81,64,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P018.asset
P019,WideV,Path,17,82,128,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P019.asset
P020,WideCornerTL,Path,65,83,192,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P020.asset
P021,WideCornerTR,Path,5,84,256,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P021.asset
P022,WideCornerBL,Path,80,85,320,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P022.asset
P023,WideCornerBR,Path,20,86,384,640,0,-6,Assets/Sapphire/Art/World/Modular64/Tiles/P023.asset
P024,BrokenEdge,Path,0,87,448,640,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/P024.asset
PA001,Blob,Path,0,96,0,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA001.asset
PA002,Blob,Path,1,97,64,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA002.asset
PA003,Blob,Path,4,98,128,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA003.asset
PA004,Blob,Path,5,99,192,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA004.asset
PA005,Blob,Path,7,100,256,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA005.asset
PA006,Blob,Path,16,101,320,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA006.asset
PA007,Blob,Path,17,102,384,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA007.asset
PA008,Blob,Path,20,103,448,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA008.asset
PA009,Blob,Path,21,104,512,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA009.asset
PA010,Blob,Path,23,105,576,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA010.asset
PA011,Blob,Path,28,106,640,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA011.asset
PA012,Blob,Path,29,107,704,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA012.asset
PA013,Blob,Path,31,108,768,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA013.asset
PA014,Blob,Path,64,109,832,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA014.asset
PA015,Blob,Path,65,110,896,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA015.asset
PA016,Blob,Path,68,111,960,576,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA016.asset
PA017,Blob,Path,69,112,0,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA017.asset
PA018,Blob,Path,71,113,64,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA018.asset
PA019,Blob,Path,80,114,128,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA019.asset
PA020,Blob,Path,81,115,192,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA020.asset
PA021,Blob,Path,84,116,256,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA021.asset
PA022,Blob,Path,85,117,320,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA022.asset
PA023,Blob,Path,87,118,384,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA023.asset
PA024,Blob,Path,92,119,448,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA024.asset
PA025,Blob,Path,93,120,512,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA025.asset
PA026,Blob,Path,95,121,576,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA026.asset
PA027,Blob,Path,112,122,640,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA027.asset
PA028,Blob,Path,113,123,704,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA028.asset
PA029,Blob,Path,116,124,768,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA029.asset
PA030,Blob,Path,117,125,832,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA030.asset
PA031,Blob,Path,119,126,896,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA031.asset
PA032,Blob,Path,124,127,960,512,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA032.asset
PA033,Blob,Path,125,128,0,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA033.asset
PA034,Blob,Path,127,129,64,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA034.asset
PA035,Blob,Path,193,130,128,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA035.asset
PA036,Blob,Path,197,131,192,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA036.asset
PA037,Blob,Path,199,132,256,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA037.asset
PA038,Blob,Path,209,133,320,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA038.asset
PA039,Blob,Path,213,134,384,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA039.asset
PA040,Blob,Path,215,135,448,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA040.asset
PA041,Blob,Path,221,136,512,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA041.asset
PA042,Blob,Path,223,137,576,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA042.asset
PA043,Blob,Path,241,138,640,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA043.asset
PA044,Blob,Path,245,139,704,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA044.asset
PA045,Blob,Path,247,140,768,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA045.asset
PA046,Blob,Path,253,141,832,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA046.asset
PA047,Blob,Path,255,142,896,448,0,0,Assets/Sapphire/Art/World/Modular64/Tiles/PA047.asset
PV001,InteriorVariant,Path,255,144,0,384,1,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV001.asset
PV002,InteriorVariant,Path,255,145,64,384,2,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV002.asset
PV003,InteriorVariant,Path,255,146,128,384,3,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV003.asset
PV004,InteriorVariant,Path,255,147,192,384,4,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV004.asset
PV005,InteriorVariant,Path,255,148,256,384,5,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV005.asset
PV006,InteriorVariant,Path,255,149,320,384,6,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV006.asset
PV007,InteriorVariant,Path,255,150,384,384,7,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV007.asset
PV008,InteriorVariant,Path,255,151,448,384,8,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV008.asset
PV009,InteriorVariant,Path,255,152,512,384,9,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV009.asset
PV010,InteriorVariant,Path,255,153,576,384,10,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV010.asset
PV011,InteriorVariant,Path,255,154,640,384,11,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV011.asset
PV012,InteriorVariant,Path,255,155,704,384,12,0,Assets/Sapphire/Art/World/Modular64/Tiles/PV012.asset
