id,semantic,layer,mask,atlas_slot,atlas_x,atlas_y_bottom,variant,asset
ET047,BlobMask255,ElevatedTop,255,46,896,832,0,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/ET047.asset
C001,Straight,CliffSouth,-1,64,0,704,1,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C001.asset
C002,EndLeft,CliffSouth,-1,65,64,704,1,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C002.asset
C003,EndRight,CliffSouth,-1,66,128,704,1,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C003.asset
C004,Isolated,CliffSouth,-1,67,192,704,1,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C004.asset
C005,Straight,CliffSouth,-1,68,256,704,2,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C005.asset
C006,EndLeft,CliffSouth,-1,69,320,704,2,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C006.asset
C007,EndRight,CliffSouth,-1,70,384,704,2,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C007.asset
C008,Isolated,CliffSouth,-1,71,448,704,2,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C008.asset
C009,Straight,CliffSouth,-1,72,512,704,3,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C009.asset
C010,EndLeft,CliffSouth,-1,73,576,704,3,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C010.asset
C011,EndRight,CliffSouth,-1,74,640,704,3,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C011.asset
C012,Isolated,CliffSouth,-1,75,704,704,3,Assets/Sapphire/Art/World/Modular64/Tiles/Elevation/C012.asset
